Time to failure, Number of defective sites, Fraction of defect
0.043514909293825815, 2535, 0.2028
0.03998563879536968, 2278, 0.18224
0.031343715775015754, 1901, 0.15208
0.04078635396037738, 2413, 0.19304
0.05201074699540237, 2966, 0.23728
0.03991955625603726, 2377, 0.19016
0.04149235845823785, 2443, 0.19544
0.044357065152843295, 2551, 0.20408
0.032134469218560086, 1912, 0.15296
0.042157146033087727, 2493, 0.19944
0.02947348977704315, 1845, 0.1476
0.04625909987841922, 2641, 0.21128
0.0617871955281468, 3309, 0.26472
0.03794847435254651, 2239, 0.17912
0.04078680918869789, 2322, 0.18576
0.038810925044778, 2343, 0.18744
0.036125159851287454, 2152, 0.17216
0.06249913966473935, 3392, 0.27136
0.042506511705344786, 2551, 0.20408
0.049961664962867615, 2817, 0.22536
0.045315998733209566, 2667, 0.21336
0.04690366301330716, 2719, 0.21752
0.039563184625035636, 2348, 0.18784
0.04328809176004275, 2504, 0.20032
0.04377617097819346, 2515, 0.2012
0.04457857212442842, 2552, 0.20416
0.05333543435393225, 3015, 0.2412
0.04085130069111047, 2463, 0.19704
0.03998480805782381, 2294, 0.18352
0.04514334762719656, 2642, 0.21136
0.05277542293652519, 2941, 0.23528
0.04861408185108922, 2827, 0.22616
0.05803069597243688, 3269, 0.26152
0.03545358806680978, 2089, 0.16712
0.045112488344426625, 2609, 0.20872
0.040270250043052604, 2368, 0.18944
0.037984886869176164, 2206, 0.17648
0.03935881062395582, 2366, 0.18928
0.03861868146301288, 2349, 0.18792
0.023644204596926646, 1518, 0.12144
0.0464070120586789, 2559, 0.20472
0.03491971239496713, 2051, 0.16408
0.04311311526119899, 2497, 0.19976
0.026658560207175407, 1722, 0.13776
0.052335866548834806, 2949, 0.23592
0.03540686543529661, 2114, 0.16912
0.029218871331739723, 1816, 0.14528
0.0381865791510346, 2260, 0.1808
0.03114357269644479, 1858, 0.14864
0.028208333663963144, 1714, 0.13712
0.02971022267335925, 1761, 0.14088
0.05030457627658433, 2935, 0.2348
0.03984348468285442, 2332, 0.18656
0.04006389231967587, 2338, 0.18704
0.03549914076771653, 2157, 0.17256
0.04383808952203749, 2590, 0.2072
0.04201884927656812, 2479, 0.19832
0.05050662916849358, 2937, 0.23496
